Species Name,Year,Season,Observation Count,Data Type
Kellicottia bostoniensis,1989,Winter,0,Marine
Kellicottia bostoniensis,1989,Spring,1,Marine
Kellicottia bostoniensis,1989,Summer,1,Marine
Kellicottia bostoniensis,1989,Fall,0,Marine
Kellicottia bostoniensis,2009,Winter,0,Marine
Kellicottia bostoniensis,2009,Spring,1,Marine
Kellicottia bostoniensis,2009,Summer,0,Marine
Kellicottia bostoniensis,2009,Fall,0,Marine
Kellicottia bostoniensis,2018,Winter,0,Marine
Kellicottia bostoniensis,2018,Spring,0,Marine
Kellicottia bostoniensis,2018,Summer,1,Marine
Kellicottia bostoniensis,2018,Fall,0,Marine
Kellicottia bostoniensis,2019,Winter,1,Marine
Kellicottia bostoniensis,2019,Spring,0,Marine
Kellicottia bostoniensis,2019,Summer,0,Marine
Kellicottia bostoniensis,2019,Fall,3,Marine
Kellicottia bostoniensis,2020,Winter,0,Marine
Kellicottia bostoniensis,2020,Spring,0,Marine
Kellicottia bostoniensis,2020,Summer,4,Marine
Kellicottia bostoniensis,2020,Fall,1,Marine
Kellicottia bostoniensis,2021,Winter,1,Marine
Kellicottia bostoniensis,2021,Spring,0,Marine
Kellicottia bostoniensis,2021,Summer,0,Marine
Kellicottia bostoniensis,2021,Fall,1,Marine
Kellicottia bostoniensis,2022,Winter,2,Marine
Kellicottia bostoniensis,2022,Spring,4,Marine
Kellicottia bostoniensis,2022,Summer,2,Marine
Kellicottia bostoniensis,2022,Fall,4,Marine
Kellicottia bostoniensis,2023,Winter,0,Marine
Kellicottia bostoniensis,2023,Spring,6,Marine
Kellicottia bostoniensis,2023,Summer,3,Marine
Kellicottia bostoniensis,2023,Fall,6,Marine
Kellicottia bostoniensis,2024,Winter,1,Marine
Kellicottia bostoniensis,2024,Spring,0,Marine
Kellicottia bostoniensis,2024,Summer,0,Marine
Kellicottia bostoniensis,2024,Fall,3,Marine
Pectinatella magnifica,1976,Winter,0,Marine
Pectinatella magnifica,1976,Spring,0,Marine
Pectinatella magnifica,1976,Summer,1,Marine
Pectinatella magnifica,1976,Fall,0,Marine
Pectinatella magnifica,1991,Winter,0,Marine
Pectinatella magnifica,1991,Spring,0,Marine
Pectinatella magnifica,1991,Summer,1,Marine
Pectinatella magnifica,1991,Fall,0,Marine
Pectinatella magnifica,1997,Winter,0,Marine
Pectinatella magnifica,1997,Spring,0,Marine
Pectinatella magnifica,1997,Summer,0,Marine
Pectinatella magnifica,1997,Fall,1,Marine
Pectinatella magnifica,2001,Winter,0,Marine
Pectinatella magnifica,2001,Spring,0,Marine
Pectinatella magnifica,2001,Summer,0,Marine
Pectinatella magnifica,2001,Fall,1,Marine
