speciesName,monthlySightings,monthIndex
Plagioecia patina,1,0
Disporella hispida,1,0
Oshurkovia littoralis,3,4
Plagioecia patina,1,6
Plagioecia patina,1,9
Crisidia cornuta,1,19
Tubulipora phalangea Couch,2,20
Oncousoecia diastoporides,2,20
Oncousoecia dilatans,2,20
Aetea sica,2,20
Oshurkovia littoralis,9,20
Tubulipora liliacea,1,21
Plagioecia patina,1,21
Plagioecia patina,2,22
Disporella hispida,1,22
Aetea sica,1,23
Plagioecia patina,1,27
Crisidia cornuta,6,29
Tubulipora liliacea,5,29
Plagioecia patina,1,29
Disporella hispida,3,29
Oshurkovia littoralis,14,29
Crisidia cornuta,1,30
Tubulipora lobifera Hastings,1,30
Disporella hispida,1,30
Oshurkovia littoralis,1,30
Oshurkovia littoralis,5,31
Bicrisia edwardsiana,1,32
Crisidia cornuta,2,32
Exidmonea atlantica,1,32
Tubulipora liliacea,2,32
Tubulipora phalangea Couch,2,32
Plagioecia patina,1,32
Disporella hispida,1,32
Oshurkovia littoralis,4,32
Crisidia cornuta,1,34
Crisidia cornuta,1,38
Oshurkovia littoralis,8,38
Oshurkovia littoralis,2,39
Crisidia cornuta,2,41
Plagioecia patina,1,41
Oshurkovia littoralis,5,41
Crisidia cornuta,13,42
Plagioecia patina,2,42
Disporella hispida,1,42
Aetea anguina,1,42
Oshurkovia littoralis,2,42
Crisidia cornuta,5,43
Tubulipora liliacea,1,43
Disporella hispida,5,43
Aetea anguina,3,43
Oshurkovia littoralis,5,43
Disporella hispida,1,48
Disporella separata Osburn,1,51
Oshurkovia littoralis,1,51
Crisidia cornuta,1,54
Oshurkovia littoralis,3,54
Tervia irregularis,1,55
Exidmonea atlantica,2,55
Aetea truncata,5,55
Oshurkovia littoralis,2,55
Crisidia cornuta,2,56
Exidmonea atlantica,1,56
Aetea anguina,1,56
Oshurkovia littoralis,4,56
Crisidia cornuta,1,57
Tubulipora phalangea Couch,1,57
Aetea sica,1,57
Oshurkovia littoralis,1,57
Crisidia cornuta,1,58
Tubulipora phalangea Couch,1,58
Exidmonea atlantica,1,61
Crisidia cornuta,6,63
Tervia irregularis,2,63
Exidmonea atlantica,4,63
Oshurkovia littoralis,12,63
Crisidia cornuta,5,64
Oshurkovia littoralis,20,64
Crisidia cornuta,1,65
Tubulipora phalangea Couch,1,65
Palmiskenea skenei,1,65
Oshurkovia littoralis,3,65
Oshurkovia littoralis,4,66
Crisidia cornuta,2,67
Plagioecia patina,3,67
Disporella hispida,2,67
Oshurkovia littoralis,3,67
Crisidia cornuta,11,68
Plagioecia patina,6,68
Disporella hispida,10,68
Aetea sica,2,68
Aetea anguina,6,68
Oshurkovia littoralis,7,68
Oshurkovia littoralis,3,69
Diaperoforma californica,1,71
Phidolopora pacifica,1,71
Crisidia cornuta,3,75
Tubulipora phalangea Couch,2,75
Diaperoforma californica,1,75
Oshurkovia littoralis,3,75
Crisidia cornuta,6,76
Tubulipora phalangea Couch,4,76
Oshurkovia littoralis,11,76
Crisidia cornuta,1,77
Tubulipora phalangea Couch,2,77
Oshurkovia littoralis,2,77
Tervia irregularis,1,78
Tubulipora flabellaris,1,78
Entalophoroecia deflexa,1,78
Frondipora verrucosa,1,78
Annectocyma major,1,78
Iodictyum violaceum Hayward,1,78
Oshurkovia littoralis,11,78
Crisidia cornuta,1,79
Tubulipora lobifera Hastings,1,79
Disporella hispida,2,79
Oshurkovia littoralis,4,79
Crisidia cornuta,6,80
Oshurkovia littoralis,7,80
Oshurkovia littoralis,7,81
Crisidia cornuta,1,86
Plagioecia patina,1,86
Plagioecia sarniensis,1,86
Oncousoecia dilatans,1,86
Disporella hispida,1,86
Aetea sica,1,86
Aetea anguina,1,86
Oshurkovia littoralis,2,86
Tervia irregularis,6,87
Exidmonea atlantica,3,87
Disporella separata Osburn,1,87
Oshurkovia littoralis,1,87
Crisidia cornuta,1,88
Tervia irregularis,1,88
Exidmonea atlantica,1,88
Oshurkovia littoralis,24,88
Crisidia cornuta,1,89
Tubulipora plumosa Thompson,1,90
Oshurkovia littoralis,7,90
Crisidia cornuta,8,91
Tervia irregularis,2,91
Exidmonea atlantica,5,91
Tubulipora liliacea,3,91
Sclerodomus myriozoides,1,91
Iodictyum phoeniceum,2,91
Oshurkovia littoralis,38,91
Crisidia cornuta,1,92
Oshurkovia littoralis,41,92
Plagioecia patina,1,98
Disporella hispida,1,98
Reteporellina denticulata,1,98
Oshurkovia littoralis,2,98
Oshurkovia littoralis,1,99
Oshurkovia littoralis,2,100
Oshurkovia littoralis,10,101
Oshurkovia littoralis,3,102
Crisidia cornuta,1,103
