speciesName,year,season,sightings
Eptesicus fuscus,1981,Winter,0
Eptesicus fuscus,1981,Spring,0
Eptesicus fuscus,1981,Summer,1
Eptesicus fuscus,1981,Fall,0
Eptesicus fuscus,1982,Winter,0
Eptesicus fuscus,1982,Spring,0
Eptesicus fuscus,1982,Summer,1
Eptesicus fuscus,1982,Fall,0
Eptesicus fuscus,1986,Winter,0
Eptesicus fuscus,1986,Spring,0
Eptesicus fuscus,1986,Summer,1
Eptesicus fuscus,1986,Fall,0
Eptesicus fuscus,1987,Winter,0
Eptesicus fuscus,1987,Spring,2
Eptesicus fuscus,1987,Summer,0
Eptesicus fuscus,1987,Fall,1
Eptesicus fuscus,1992,Winter,0
Eptesicus fuscus,1992,Spring,0
Eptesicus fuscus,1992,Summer,0
Eptesicus fuscus,1992,Fall,1
Eptesicus fuscus,1993,Winter,0
Eptesicus fuscus,1993,Spring,1
Eptesicus fuscus,1993,Summer,1
Eptesicus fuscus,1993,Fall,0
Eptesicus fuscus,1994,Winter,0
Eptesicus fuscus,1994,Spring,2
Eptesicus fuscus,1994,Summer,0
Eptesicus fuscus,1994,Fall,0
Eptesicus fuscus,1995,Winter,0
Eptesicus fuscus,1995,Spring,1
Eptesicus fuscus,1995,Summer,0
Eptesicus fuscus,1995,Fall,0
Eptesicus fuscus,1996,Winter,0
Eptesicus fuscus,1996,Spring,1
Eptesicus fuscus,1996,Summer,0
Eptesicus fuscus,1996,Fall,0
Eptesicus fuscus,1997,Winter,0
Eptesicus fuscus,1997,Spring,1
Eptesicus fuscus,1997,Summer,0
Eptesicus fuscus,1997,Fall,0
Eptesicus fuscus,2000,Winter,0
Eptesicus fuscus,2000,Spring,0
Eptesicus fuscus,2000,Summer,21
Eptesicus fuscus,2000,Fall,19
Eptesicus fuscus,2001,Winter,1
Eptesicus fuscus,2001,Spring,0
Eptesicus fuscus,2001,Summer,10
Eptesicus fuscus,2001,Fall,0
Eptesicus fuscus,2002,Winter,0
Eptesicus fuscus,2002,Spring,0
Eptesicus fuscus,2002,Summer,1
Eptesicus fuscus,2002,Fall,0
Eptesicus fuscus,2003,Winter,0
Eptesicus fuscus,2003,Spring,1
Eptesicus fuscus,2003,Summer,3
Eptesicus fuscus,2003,Fall,1
Eptesicus fuscus,2004,Winter,0
Eptesicus fuscus,2004,Spring,3
Eptesicus fuscus,2004,Summer,52
Eptesicus fuscus,2004,Fall,0
Eptesicus fuscus,2005,Winter,4
Eptesicus fuscus,2005,Spring,1
Eptesicus fuscus,2005,Summer,4
Eptesicus fuscus,2005,Fall,2
Eptesicus fuscus,2006,Winter,0
Eptesicus fuscus,2006,Spring,0
Eptesicus fuscus,2006,Summer,4
Eptesicus fuscus,2006,Fall,2
Eptesicus fuscus,2007,Winter,0
Eptesicus fuscus,2007,Spring,2
Eptesicus fuscus,2007,Summer,4
Eptesicus fuscus,2007,Fall,2
Eptesicus fuscus,2008,Winter,1
Eptesicus fuscus,2008,Spring,3
Eptesicus fuscus,2008,Summer,8
Eptesicus fuscus,2008,Fall,2
Eptesicus fuscus,2009,Winter,1
Eptesicus fuscus,2009,Spring,1
Eptesicus fuscus,2009,Summer,7
Eptesicus fuscus,2009,Fall,1
Eptesicus fuscus,2010,Winter,3
Eptesicus fuscus,2010,Spring,4
Eptesicus fuscus,2010,Summer,2
Eptesicus fuscus,2010,Fall,1
Eptesicus fuscus,2011,Winter,0
Eptesicus fuscus,2011,Spring,3
Eptesicus fuscus,2011,Summer,7
Eptesicus fuscus,2011,Fall,5
Eptesicus fuscus,2012,Winter,1
Eptesicus fuscus,2012,Spring,7
Eptesicus fuscus,2012,Summer,19
Eptesicus fuscus,2012,Fall,6
Eptesicus fuscus,2013,Winter,0
Eptesicus fuscus,2013,Spring,9
Eptesicus fuscus,2013,Summer,24
